"RANK","NAME","Position","Team","BYE","TIER","EXODIA"
"1","Josh Allen","QB","BUF","7","1",""
"2","Lamar Jackson","QB","BAL","13","2",""
"3","Jayden Daniels","QB","WAS","7","2",""
"4","Jalen Hurts","QB","PHI","10","2",""
"5","Drake Maye","QB","NE","11","2",""
"6","Joe Burrow","QB","CIN","6","3",""
"7","Jaxson Dart","QB","NYG","8","3",""
"8","Trevor Lawrence","QB","JAX","7","3",""
"9","Justin Herbert","QB","LAC","7","5",""
"10","Dak Prescott","QB","DAL","14","5",""
"11","Caleb Williams","QB","CHI","10","5",""
"12","Malik Willis","QB","MIA","6","6",""
"13","Kyler Murray","QB","MIN","6","6",""
"14","Brock Purdy","QB","SF","8","6",""
"15","Patrick Mahomes","QB","KC","5","7",""
"16","Bo Nix","QB","DEN","10","7",""
"17","Matthew Stafford","QB","LAR","11","7",""
"18","Baker Mayfield","QB","TB","10","7",""
"19","Jared Goff","QB","DET","6","8",""
"20","Jordan Love","QB","GB","11","8",""
"21","Tyler Shough","QB","NO","8","8",""
"22","Daniel Jones","QB","IND","13","8",""
"23","Sam Darnold","QB","SEA","11","8",""
"24","C.J. Stroud","QB","HOU","8","8",""
"25","Jacoby Brissett","QB","ARI","14","8",""
