"RANK","NAME","Position","Team","BYE","TIER","EXODIA"
"1","Brock Bowers","TE","LV","13","1",""
"2","Trey McBride","TE","ARI","14","1",""
"3","Colston Loveland","TE","CHI","10","2",""
"4","Tyler Warren","TE","IND","13","2",""
"5","Sam LaPorta","TE","DET","6","2",""
"6","Harold Fannin Jr.","TE","CLE","11","3",""
"7","Tucker Kraft","TE","GB","11","3",""
"8","George Kittle","TE","SF","8","3",""
"9","Kyle Pitts","TE","ATL","11","4",""
"10","Isaiah Likely","TE","NYG","8","5",""
"11","Dallas Goedert","TE","PHI","10","5",""
"12","Dalton Kincaid","TE","BUF","7","5",""
"13","Mark Andrews","TE","BAL","13","5",""
"14","Travis Kelce","TE","KC","5","5",""
"15","Terrance Ferguson","TE","LAR","11","6",""
"16","Jake Ferguson","TE","DAL","14","6",""
"17","Brenton Strange","TE","JAX","7","6",""
"18","Chig Okonkwo","TE","WAS","7","7",""
"19","Oronde Gadsden II","TE","LAC","7","7",""
"20","Greg Dulcich","TE","MIA","6","7",""
"21","Kenyon Sadiq","TE","NYJ","13","7",""
"22","Juwan Johnson","TE","NO","8","7",""
"23","Hunter Henry","TE","NE","11","8",""
"24","Pat Freiermuth","TE","PIT","9","8",""
"25","Gunnar Helm","TE","TEN","9","8",""
"26","Erick All","TE","CIN","6","8",""
"27","AJ Barner","TE","SEA","11","8",""
"28","Dalton Schultz","TE","HOU","8","8",""
