"RANK","NAME","Position","Team","BYE","TIER","EXODIA"
"1","Puka Nacua","WR","LAR","11","1",""
"2","Ja'Marr Chase","WR","CIN","6","1",""
"3","Amon-Ra St. Brown","WR","DET","6","2",""
"4","Jaxon Smith-Njigba","WR","SEA","11","3",""
"5","Drake London","WR","ATL","11","3",""
"6","Justin Jefferson","WR","MIN","6","3",""
"7","CeeDee Lamb","WR","DAL","14","3",""
"8","Malik Nabers","WR","NYG","8","4",""
"9","A.J. Brown","WR","NE","11","4",""
"10","George Pickens","WR","DAL","14","4",""
"11","Nico Collins","WR","HOU","8","4",""
"12","Tee Higgins","WR","CIN","6","5",""
"13","Zay Flowers","WR","BAL","13","5",""
"14","DeVonta Smith","WR","PHI","10","5",""
"15","Emeka Egbuka","WR","TB","10","5",""
"16","Jaylen Waddle","WR","DEN","10","5",""
"17","Terry McLaurin","WR","WAS","7","5",""
"18","Luther Burden III","WR","CHI","10","5","1"
"19","Chris Olave","WR","NO","8","5",""
"20","Rashee Rice","WR","KC","5","5",""
"21","Garrett Wilson","WR","NYJ","13","6",""
"22","Mike Evans","WR","SF","8","6","1"
"23","Davante Adams","WR","LAR","11","6",""
"24","Tetairoa McMillan","WR","CAR","5","7",""
"25","Christian Watson","WR","GB","11","7",""
"26","Parker Washington","WR","JAX","7","7","1"
"27","Ladd McConkey","WR","LAC","7","7",""
"28","Jameson Williams","WR","DET","6","8",""
"29","Jordyn Tyson","WR","NO","8","8",""
"30","Carnell Tate","WR","TEN","9","8",""
"31","Brian Thomas Jr.","WR","JAX","7","8",""
"32","DJ Moore","WR","BUF","7","9",""
"33","Josh Downs","WR","IND","13","9",""
"34","Courtland Sutton","WR","DEN","10","9",""
"35","Quentin Johnston","WR","LAC","7","9",""
"36","Michael Wilson","WR","ARI","14","9",""
"37","Chris Godwin Jr.","WR","TB","10","10",""
"38","Rome Odunze","WR","CHI","10","10",""
"39","Stefon Diggs","WR","WAS","7","10",""
"40","Michael Pittman","WR","PIT","9","10",""
"41","Jayden Higgins","WR","HOU","8","10",""
"42","Alec Pierce","WR","IND","13","10",""
"43","DK Metcalf","WR","PIT","9","10",""
"44","Marvin Harrison Jr.","WR","ARI","14","10",""
"45","KC Concepcion","WR","CLE","11","11",""
"46","Romeo Doubs","WR","NE","11","11",""
"47","Jayden Reed","WR","GB","11","11",""
"48","Makai Lemon","WR","PHI","10","11",""
"49","De'Zhaun Stribling","WR","SF","8","11",""
"50","Xavier Worthy","WR","KC","5","11",""
"51","Matthew Golden","WR","GB","11","12",""
"52","Jordan Addison","WR","MIN","6","12",""
"53","Wan'Dale Robinson","WR","TEN","9","12",""
"54","Rashid Shaheed","WR","SEA","11","13",""
"55","Jalen Coker","WR","CAR","5","13",""
"56","Jalen Nailor","WR","LV","13","13",""
"57","Adonai Mitchell","WR","NYJ","13","13",""
"58","Jerry Jeudy","WR","CLE","11","13",""
"59","Jakobi Meyers","WR","JAX","7","13",""
