"RANK","NAME","Position","Team","BYE","TIER","UP","DOWN","TARGET","WIN"
"1","Jahmyr Gibbs","RB","DET","6","1","false","false","false","false"
"2","Bijan Robinson","RB","ATL","11","1","false","false","false","false"
"3","Jonathan Taylor","RB","IND","13","2","false","false","false","false"
"4","James Cook III","RB","BUF","7","2","false","false","false","false"
"5","Christian McCaffrey","RB","SF","8","3","false","false","false","false"
"6","Ashton Jeanty","RB","LV","13","3","false","false","false","false"
"7","Omarion Hampton","RB","LAC","7","3","false","false","true","true"
"8","Saquon Barkley","RB","PHI","10","3","false","false","true","true"
"9","De'Von Achane","RB","MIA","6","3","false","false","false","false"
"10","Kenneth Walker III","RB","KC","5","4","false","false","false","false"
"11","Chase Brown","RB","CIN","6","4","false","false","true","false"
"12","Derrick Henry","RB","BAL","13","4","false","false","true","false"
"13","Breece Hall","RB","NYJ","13","4","false","false","true","false"
"14","Javonte Williams","RB","DAL","14","5","true","false","true","true"
"15","Jeremiyah Love","RB","ARI","2","5","false","false","false","false"
"16","Josh Jacobs","RB","GB","11","5","false","false","false","false"
"17","Cam Skattebo","RB","NYG","8","5","true","false","true","false"
"18","Kyren Williams","RB","LAR","11","6","false","false","false","false"
"19","TreVeyon Henderson","RB","NE","11","6","false","false","false","false"
"20","D'Andre Swift","RB","CHI","10","6","false","false","true","false"
"21","David Montgomery","RB","HOU","8","6","false","false","true","false"
"22","Bucky Irving","RB","TB","10","6","false","false","false","false"
"23","Travis Etienne Jr.","RB","NO","8","6","false","false","false","false"
"24","Quinshon Judkins","RB","CLE","11","6","false","false","false","false"
"25","Bhayshul Tuten","RB","JAX","7","7","false","false","false","false"
"26","Rico Dowdle","RB","PIT","9","7","true","false","true","false"
"27","Chuba Hubbard","RB","CAR","2","7","true","false","true","false"
"28","Rhamondre Stevenson","RB","NE","11","7","false","false","false","false"
"29","Jadarian Price","RB","SEA","11","7","true","false","true","false"
"30","Tony Pollard","RB","TEN","9","7","false","false","false","false"
"31","Kenny Gainwell","RB","TB","10","8","false","false","false","false"
"32","Jaylen Warren","RB","PIT","9","8","false","false","false","false"
"33","Jonathon Brooks","RB","CAR","2","8","true","false","false","false"
"34","RJ Harvey","RB","DEN","10","9","false","false","false","false"
"35","Jordan Mason","RB","MIN","6","9","true","false","false","false"
"36","Blake Corum","RB","LAR","11","9","true","false","false","false"
"37","Aaron Jones Sr.","RB","MIN","6","9","false","false","false","false"
"38","J.K. Dobbins","RB","DEN","10","9","false","false","false","false"
"39","Kyle Monangai","RB","CHI","10","9","false","false","false","false"
"40","Rachaad White","RB","WAS","7","9","true","false","true","false"
"41","Zach Charbonnet","RB","SEA","11","10","false","false","false","false"
"42","Tyrone Tracy Jr.","RB","NYG","8","10","false","false","false","false"
"43","Woody Marks","RB","HOU","8","10","false","false","false","false"
"44","Tyjae Spears","RB","TEN","9","10","false","false","false","false"
"45","Chris Rodriguez Jr.","RB","JAX","7","10","true","false","false","false"
"46","Isiah Pacheco","RB","DET","6","10","false","false","false","false"
"47","Jacory Croskey-Merritt","RB","WAS","7","10","true","false","false","false"
"48","Brian Robinson Jr.","RB","ATL","11","10","false","false","false","false"
"49","Alvin Kamara","RB","NO","8","10","false","false","false","false"
"50","Dylan Sampson","RB","CLE","11","11","false","false","false","false"
"51","Kimani Vidal","RB","LAC","7","11","false","false","false","false"
"52","Justice Hill","RB","BAL","13","11","false","false","false","false"
"53","Keaton Mitchell","RB","LAC","7","11","false","false","false","false"
"54","Kaytron Allen","RB","WAS","7","11","true","false","false","false"
"55","Tyler Allgeier","RB","ARI","2","11","false","false","false","false"
"56","Sean Tucker","RB","TB","10","11","true","false","false","false"
"57","Jaydon Blue","RB","DAL","14","12","false","false","false","false"
"58","Mike Washington Jr.","RB","LV","13","12","false","false","false","false"
"59","Chris Brooks","RB","GB","11","12","false","false","false","false"
"60","Nicholas Singleton","RB","TEN","9","12","true","false","false","false"
"61","Jonah Coleman","RB","DEN","10","12","true","false","false","false"
"62","LeQuint Allen Jr.","RB","JAX","7","12","true","false","false","false"
"63","James Conner","RB","ARI","2","12","false","false","false","false"
"64","Ollie Gordon II","RB","MIA","6","12","false","false","false","false"
"65","Isaiah Davis","RB","NYJ","13","13","false","false","false","false"
"66","MarShawn Lloyd","RB","GB","11","13","false","false","false","false"
"67","Emmett Johnson","RB","KC","5","13","false","false","false","false"
"68","Samaje Perine","RB","CIN","6","13","false","false","false","false"
"69","Demond Claiborne","RB","MIN","6","13","true","false","false","false"
"70","Emanuel Wilson","RB","SEA","11","13","false","false","false","false"
"71","Ty Johnson","RB","BUF","7","13","false","false","false","false"
"72","Brashard Smith","RB","KC","5","14","false","false","false","false"
"73","Jaylen Wright","RB","MIA","6","14","false","false","false","false"
"74","Jordan James","RB","SF","8","14","false","false","false","false"
"75","Kaelon Black","RB","SF","8","14","true","false","false","false"
"76","Malik Davis","RB","DAL","14","15","false","false","false","false"
"77","Braelon Allen","RB","NYJ","13","15","false","false","false","false"
"78","Tank Bigsby","RB","PHI","10","15","false","false","false","false"
