"RANK","NAME","Position","Team","BYE","TIER","UP","DOWN","TARGET","WIN"
"1","Brock Bowers","TE","LV","13","1","false","false","false","false"
"2","Trey McBride","TE","ARI","2","2","false","false","false","false"
"3","Tyler Warren","TE","IND","13","3","false","false","true","true"
"4","Colston Loveland","TE","CHI","10","3","false","false","true","false"
"5","Sam LaPorta","TE","DET","6","4","false","false","true","false"
"6","Tucker Kraft","TE","GB","11","4","false","false","false","false"
"7","Kyle Pitts Sr.","TE","ATL","11","4","false","false","false","false"
"8","Harold Fannin Jr.","TE","CLE","11","4","false","false","false","false"
"9","Travis Kelce","TE","KC","5","5","false","false","true","false"
"10","Mark Andrews","TE","BAL","13","5","true","false","true","false"
"11","George Kittle","TE","SF","8","5","false","false","false","false"
"12","Jake Ferguson","TE","DAL","14","5","false","false","false","false"
"13","Brenton Strange","TE","JAX","7","6","true","false","true","false"
"14","Dallas Goedert","TE","PHI","10","6","false","false","false","false"
"15","Dalton Kincaid","TE","BUF","7","6","false","false","false","false"
"16","Oronde Gadsden","TE","LAC","7","7","false","false","false","false"
"17","Juwan Johnson","TE","NO","8","7","false","false","false","false"
"18","Dalton Schultz","TE","HOU","8","7","false","false","false","false"
"19","Hunter Henry","TE","NE","11","7","false","false","false","false"
"20","Isaiah Likely","TE","NYG","8","7","false","false","false","false"
"21","T.J. Hockenson","TE","MIN","6","7","true","false","false","false"
"22","Greg Dulcich","TE","MIA","6","7","true","false","true","false"
"23","AJ Barner","TE","SEA","11","8","false","false","false","false"
"24","Kenyon Sadiq","TE","NYJ","13","8","true","false","false","false"
"25","Chig Okonkwo","TE","WAS","7","8","false","false","false","false"
"26","Cade Otton","TE","TB","10","8","false","false","false","false"
"27","Pat Freiermuth","TE","PIT","9","8","false","false","false","false"
"28","Gunnar Helm","TE","TEN","9","8","false","false","false","false"
"29","Terrance Ferguson","TE","LAR","11","8","false","false","false","false"
"30","Colby Parkinson","TE","LAR","11","9","false","false","false","false"
"31","Michael Mayer","TE","LV","13","9","false","false","false","false"
"32","David Njoku","TE","LAC","7","9","false","false","false","false"
"33","Mike Gesicki","TE","CIN","6","9","false","false","false","false"
"34","Ja'Tavion Sanders","TE","CAR","2","10","false","false","false","false"
"35","Theo Johnson","TE","NYG","8","10","false","false","false","false"
"36","Dawson Knox","TE","BUF","7","10","false","false","false","false"
"37","Cole Kmet","TE","CHI","10","10","false","false","false","false"
"38","Tyler Higbee","TE","LAR","11","10","false","false","false","false"
"39","Mason Taylor","TE","NYJ","13","10","true","false","false","false"
"40","Justin Joly","TE","DEN","10","10","true","false","false","false"
"41","Evan Engram","TE","DEN","10","10","false","false","false","false"
"42","Jake Tonges","TE","SF","8","11","false","false","false","false"
"43","Elijah Arroyo","TE","SEA","11","11","true","false","false","false"
"44","Tommy Tremble","TE","CAR","2","11","false","false","false","false"
"45","Noah Gray","TE","KC","5","12","false","false","false","false"
"46","Darnell Washington","TE","PIT","9","12","false","false","false","false"
"47","Daniel Bellinger","TE","TEN","9","12","false","false","false","false"
"48","Oscar Delp","TE","NO","8","12","false","false","false","false"
"49","Noah Fant","TE","NO","8","12","false","false","false","false"
"50","Austin Hooper","TE","ATL","11","13","false","false","false","false"
"51","Luke Musgrave","TE","GB","11","13","false","false","false","false"
"52","Eli Stowers","TE","PHI","10","13","false","false","false","false"
"53","Eli Raridon","TE","NE","11","13","false","false","false","false"
"54","Tanner Hudson","TE","CIN","6","13","false","false","false","false"
"55","Sam Roush","TE","CHI","10","13","false","false","false","false"
"56","Charlie Kolar","TE","LAC","7","13","false","false","false","false"
"57","Josh Oliver","TE","MIN","6","14","false","false","false","false"
"58","Ben Sinnott","TE","WAS","7","14","false","false","false","false"
"59","Jonnu Smith","TE","","","14","false","false","false","false"
"60","Luke Schoonmaker","TE","DAL","14","14","false","false","false","false"
