"RANK","NAME","Position","Team","BYE","TIER","UP","DOWN","TARGET","WIN"
"1","Puka Nacua","WR","LAR","11","1","false","false","false","false"
"2","Ja'Marr Chase","WR","CIN","6","1","false","false","false","false"
"3","Amon-Ra St. Brown","WR","DET","6","2","false","false","false","false"
"4","CeeDee Lamb","WR","DAL","14","2","false","false","false","false"
"5","Jaxon Smith-Njigba","WR","SEA","11","2","false","false","false","false"
"6","Justin Jefferson","WR","MIN","6","2","false","false","false","false"
"7","Rashee Rice","WR","KC","5","3","false","false","false","false"
"8","Nico Collins","WR","HOU","8","3","false","false","true","false"
"9","A.J. Brown","WR","NE","11","3","false","false","false","false"
"10","Chris Olave","WR","NO","8","3","false","false","true","false"
"11","Drake London","WR","ATL","11","3","false","false","false","false"
"12","Malik Nabers","WR","NYG","8","3","false","true","false","false"
"13","George Pickens","WR","DAL","14","3","false","false","false","false"
"14","Tee Higgins","WR","CIN","6","3","false","false","false","false"
"15","Zay Flowers","WR","BAL","13","3","false","false","false","false"
"16","DeVonta Smith","WR","PHI","10","3","false","false","true","false"
"17","Tetairoa McMillan","WR","CAR","2","4","false","false","false","false"
"18","Terry McLaurin","WR","WAS","7","4","false","false","true","true"
"19","Ladd McConkey","WR","LAC","7","4","false","false","true","false"
"20","Christian Watson","WR","GB","11","4","false","false","true","true"
"21","Garrett Wilson","WR","NYJ","13","4","false","false","false","false"
"22","Luther Burden III","WR","CHI","10","4","false","false","false","false"
"23","DJ Moore","WR","BUF","7","4","false","false","true","false"
"24","Jameson Williams","WR","DET","6","4","false","false","false","false"
"25","Emeka Egbuka","WR","TB","10","4","false","false","false","false"
"26","Michael Pittman Jr.","WR","PIT","9","4","false","false","true","false"
"27","Rome Odunze","WR","CHI","10","4","true","false","true","false"
"28","Mike Evans","WR","SF","8","5","false","false","false","false"
"29","Jaylen Waddle","WR","DEN","10","5","false","false","false","false"
"30","Davante Adams","WR","LAR","11","5","false","true","false","false"
"31","Parker Washington","WR","JAX","7","6","false","false","false","false"
"32","Brian Thomas Jr.","WR","JAX","7","6","false","false","false","false"
"33","Josh Downs","WR","IND","13","6","false","false","true","false"
"34","Jakobi Meyers","WR","JAX","7","6","false","false","false","false"
"35","Alec Pierce","WR","IND","13","7","false","false","true","false"
"36","DK Metcalf","WR","PIT","9","7","false","false","false","false"
"37","Marvin Harrison Jr.","WR","ARI","2","7","true","false","false","false"
"38","Carnell Tate","WR","TEN","9","7","false","false","false","false"
"39","Makai Lemon","WR","PHI","10","8","false","false","false","false"
"40","Jordyn Tyson","WR","NO","8","8","false","false","false","false"
"41","Michael Wilson","WR","ARI","2","8","false","false","false","false"
"42","Courtland Sutton","WR","DEN","10","8","false","false","false","false"
"43","Jordan Addison","WR","MIN","6","8","false","false","false","false"
"44","Jayden Reed","WR","GB","11","8","false","false","false","false"
"45","Wan'Dale Robinson","WR","TEN","9","9","false","false","false","false"
"46","Chris Godwin Jr.","WR","TB","10","9","false","false","false","false"
"47","Xavier Worthy","WR","KC","5","9","true","false","false","false"
"48","Quentin Johnston","WR","LAC","7","9","true","false","false","false"
"49","Jalen Coker","WR","CAR","2","9","false","false","false","false"
"50","Deebo Samuel Sr.","WR","SF","8","9","false","false","false","false"
"51","Jalen McMillan","WR","TB","10","9","true","false","false","false"
"52","Jerry Jeudy","WR","CLE","11","9","true","false","false","false"
"53","Romeo Doubs","WR","NE","11","9","false","false","false","false"
"54","Jayden Higgins","WR","HOU","8","10","false","false","false","false"
"55","Khalil Shakir","WR","BUF","7","10","false","false","false","false"
"56","Jalen Nailor","WR","LV","13","10","true","false","true","false"
"57","Stefon Diggs","WR","","","10","false","false","false","false"
"58","Tre Tucker","WR","LV","13","10","false","false","false","false"
"59","KC Concepcion","WR","CLE","11","10","true","false","false","false"
"60","Antonio Williams","WR","WAS","7","10","true","false","false","false"
"61","Omar Cooper Jr.","WR","NYJ","13","11","true","false","false","false"
"62","Jauan Jennings","WR","MIN","6","11","false","false","false","false"
"63","Matthew Golden","WR","GB","11","11","true","false","false","false"
"64","Dontayvion Wicks","WR","PHI","10","11","true","false","false","false"
"65","Adonai Mitchell","WR","NYJ","13","11","false","false","false","false"
"66","Germie Bernard","WR","PIT","9","11","true","false","false","false"
"67","Calvin Ridley","WR","TEN","9","11","true","false","false","false"
"68","Cooper Kupp","WR","SEA","11","11","false","false","false","false"
"69","Ryan Flournoy","WR","DAL","14","12","true","false","false","false"
"70","Devaughn Vele","WR","NO","8","12","true","false","false","false"
"71","Troy Franklin","WR","DEN","10","12","false","false","false","false"
"72","Rashid Shaheed","WR","SEA","11","12","false","false","false","false"
"73","Darnell Mooney","WR","NYG","8","12","true","false","false","false"
"74","Rashod Bateman","WR","BAL","13","13","false","false","false","false"
"75","Zachariah Branch","WR","ATL","11","13","true","false","false","false"
"76","Isaac TeSlaa","WR","DET","6","13","true","false","false","false"
"77","Elijah Sarratt","WR","BAL","13","13","false","false","false","false"
"78","Jaylin Noel","WR","HOU","8","13","true","false","false","false"
"79","Tank Dell","WR","HOU","8","14","false","false","false","false"
"80","Kayshon Boutte","WR","NE","11","14","true","false","false","false"
"81","Keenan Allen","WR","","","14","false","false","false","false"
"82","Denzel Boston","WR","CLE","11","14","false","false","false","false"
"83","Christian Kirk","WR","SF","8","14","false","false","false","false"
"84","Travis Hunter","WR","JAX","7","14","false","false","false","false"
"85","Darius Slayton","WR","NYG","8","14","false","false","false","false"
"86","Jalen Tolbert","WR","MIA","6","14","false","false","false","false"
"87","Malachi Fields","WR","NYG","8","14","false","false","false","false"
"88","KaVontae Turpin","WR","DAL","14","15","false","false","false","false"
"89","Joshua Palmer","WR","BUF","7","15","true","false","false","false"
"90","Olamide Zaccheaus","WR","ATL","11","15","false","false","false","false"
"91","De'Zhaun Stribling","WR","SF","8","15","true","false","false","false"
"92","Malik Washington","WR","MIA","6","15","false","false","false","false"
"93","Treylon Burks","WR","WAS","7","15","false","false","false","false"
"94","Tyquan Thornton","WR","KC","5","15","false","false","false","false"
"95","Xavier Legette","WR","CAR","2","15","false","false","false","false"
"96","Marvin Mims Jr.","WR","DEN","10","15","false","false","false","false"
"97","Andrei Iosivas","WR","CIN","6","16","false","false","false","false"
"98","Tre' Harris","WR","LAC","7","16","false","false","false","false"
"99","Caleb Douglas","WR","MIA","6","16","false","false","false","false"
"100","Pat Bryant","WR","DEN","10","16","false","false","false","false"
"101","Jahan Dotson","WR","ATL","11","16","false","false","false","false"
"102","Isaiah Bond","WR","CLE","11","16","false","false","false","false"
"103","Chris Bell","WR","MIA","6","16","false","false","false","false"
"104","Elic Ayomanor","WR","TEN","9","16","false","false","false","false"
"105","Nick Westbrook-Ikhine","WR","IND","13","17","false","false","false","false"
"106","Greg Dortch","WR","DET","6","17","false","false","false","false"
"107","Kalif Raymond","WR","CHI","10","17","false","false","false","false"
"108","Jack Bech","WR","LV","13","17","false","false","false","false"
"109","Chimere Dike","WR","TEN","9","17","false","false","false","false"
"110","Kendrick Bourne","WR","ARI","2","17","false","false","false","false"
"111","Colbie Young","WR","CIN","6","18","false","false","false","false"
"112","Keon Coleman","WR","BUF","7","18","false","false","false","false"
"113","Tez Johnson","WR","TB","10","18","false","false","false","false"
"114","Calvin Austin III","WR","NYG","8","18","false","false","false","false"
"115","Mack Hollins","WR","NE","11","18","false","false","false","false"
"116","Ja'Kobi Lane","WR","BAL","13","18","false","false","false","false"
"117","DeMario Douglas","WR","NE","11","18","false","false","false","false"
"118","Tory Horton","WR","SEA","11","18","false","false","false","false"
"119","Brenen Thompson","WR","LAC","7","19","false","false","false","false"
"120","John Metchie III","WR","CAR","2","19","false","false","false","false"
"121","Xavier Hutchinson","WR","HOU","8","19","false","false","false","false"
"122","Hollywood Brown","WR","PHI","10","19","false","false","false","false"
"123","Jaylin Lane","WR","WAS","7","19","false","false","false","false"
"124","Roman Wilson","WR","PIT","9","19","false","false","false","false"
"125","Ted Hurst","WR","TB","10","19","false","false","false","false"
"126","Tyrell Shavers","WR","BUF","7","19","false","false","false","false"
"127","Bryce Lance","WR","NO","8","19","false","false","false","false"
"128","Tutu Atwell","WR","MIA","6","19","false","false","false","false"
"129","Luke McCaffrey","WR","WAS","7","19","false","false","false","false"
"130","Kyle Williams","WR","NE","11","19","false","false","false","false"
"131","Skyler Bell","WR","BUF","7","19","false","false","false","false"
"132","Devontez Walker","WR","BAL","13","19","false","false","false","false"
"133","Dont'e Thornton Jr.","WR","LV","13","19","false","false","false","false"
"134","Elijah Moore","WR","PHI","10","19","false","false","false","false"
"135","Dyami Brown","WR","WAS","7","19","false","false","false","false"
