"RANK","NAME","Position","Team","BYE","TIER","UP","DOWN","TARGET","WIN"
"1","Josh Allen","QB","BUF","7","1","false","false","false","false"
"2","Drake Maye","QB","NE","11","2","false","false","false","false"
"3","Lamar Jackson","QB","BAL","13","3","false","false","false","false"
"4","Joe Burrow","QB","CIN","6","3","false","false","false","false"
"5","Jayden Daniels","QB","WAS","7","3","false","false","false","false"
"6","Trevor Lawrence","QB","JAX","7","4","true","false","true","true"
"7","Justin Herbert","QB","LAC","7","4","true","false","true","true"
"8","Jalen Hurts","QB","PHI","10","4","false","false","false","false"
"9","Dak Prescott","QB","DAL","14","5","false","false","false","false"
"10","Caleb Williams","QB","CHI","10","5","false","false","false","false"
"11","Brock Purdy","QB","SF","8","5","false","false","true","false"
"12","Bo Nix","QB","DEN","10","6","false","false","false","false"
"13","Matthew Stafford","QB","LAR","11","6","false","false","false","false"
"14","Patrick Mahomes","QB","KC","5","7","false","false","false","false"
"15","Kyler Murray","QB","MIN","6","7","true","false","true","false"
"16","Jaxson Dart","QB","NYG","8","7","false","false","false","false"
"17","Malik Willis","QB","MIA","6","7","true","false","true","false"
"18","Jordan Love","QB","GB","11","7","false","false","false","false"
"19","Tyler Shough","QB","NO","8","7","true","false","true","false"
"20","Baker Mayfield","QB","TB","10","7","false","false","false","false"
"21","Jared Goff","QB","DET","6","7","false","false","false","false"
"22","Daniel Jones","QB","IND","13","8","true","false","false","false"
"23","C.J. Stroud","QB","HOU","8","8","false","false","false","false"
"24","Sam Darnold","QB","SEA","11","8","false","false","false","false"
"25","Bryce Young","QB","CAR","2","9","false","false","false","false"
"26","Cam Ward","QB","TEN","9","9","false","false","false","false"
"27","Aaron Rodgers","QB","PIT","9","9","false","false","false","false"
"28","Geno Smith","QB","NYJ","13","10","false","false","false","false"
"29","Jacoby Brissett","QB","ARI","2","10","false","false","false","false"
"30","Fernando Mendoza","QB","LV","13","10","false","false","false","false"
"31","Tua Tagovailoa","QB","ATL","11","11","false","false","false","false"
"32","Shedeur Sanders","QB","CLE","11","11","false","false","false","false"
"33","Michael Penix Jr.","QB","ATL","11","11","false","false","false","false"
"34","Kirk Cousins","QB","LV","13","11","false","false","false","false"
"35","Deshaun Watson","QB","CLE","11","11","false","false","false","false"
"36","J.J. McCarthy","QB","MIN","6","12","true","false","false","false"
"37","Mac Jones","QB","SF","8","12","false","false","false","false"
"38","Justin Fields","QB","KC","5","12","false","false","false","false"
"39","Anthony Richardson Sr.","QB","IND","13","12","true","false","false","false"
"40","Trey Lance","QB","LAC","7","13","false","false","false","false"
"41","Marcus Mariota","QB","WAS","7","13","false","false","false","false"
"42","Tyson Bagent","QB","CHI","10","13","false","false","false","false"
"43","Jameis Winston","QB","NYG","8","13","false","false","false","false"
"44","Davis Mills","QB","HOU","8","14","false","false","false","false"
"45","Tyler Huntley","QB","BAL","13","14","false","false","false","false"
"46","Jarrett Stidham","QB","DEN","10","14","false","false","false","false"
"47","Gardner Minshew II","QB","ARI","2","14","false","false","false","false"
"48","Mason Rudolph","QB","PIT","9","14","false","false","false","false"
"49","Joe Milton III","QB","DAL","14","14","false","false","false","false"
"50","Tanner McKee","QB","PHI","10","15","false","false","false","false"
