"RANK","NAME","POS","TEAM","BYE","Format"
"1","Jahmyr Gibbs","RB","DET","6","ppr"
"2","Bijan Robinson","RB","ATL","11","ppr"
"3","Ja'Marr Chase","WR","CIN","6","ppr"
"4","Puka Nacua","WR","LAR","11","ppr"
"5","Amon-Ra St. Brown","WR","DET","6","ppr"
"6","Jonathan Taylor","RB","IND","13","ppr"
"7","CeeDee Lamb","WR","DAL","14","ppr"
"8","Jaxon Smith-Njigba","WR","SEA","11","ppr"
"9","James Cook III","RB","BUF","7","ppr"
"10","De'Von Achane","RB","MIA","6","ppr"
"11","Christian McCaffrey","RB","SF","8","ppr"
"12","Brock Bowers","TE","LV","13","ppr"
"13","Omarion Hampton","RB","LAC","7","ppr"
"14","Justin Jefferson","WR","MIN","6","ppr"
"15","Saquon Barkley","RB","PHI","10","ppr"
"16","Chase Brown","RB","CIN","6","ppr"
"17","Ashton Jeanty","RB","LV","13","ppr"
"18","Derrick Henry","RB","BAL","13","ppr"
"19","Kenneth Walker","RB","KC","5","ppr"
"20","Nico Collins","WR","HOU","8","ppr"
"21","A.J. Brown","WR","NE","11","ppr"
"22","George Pickens","WR","DAL","14","ppr"
"23","Rashee Rice","WR","KC","5","ppr"
"24","Drake London","WR","ATL","11","ppr"
"25","Chris Olave","WR","NO","8","ppr"
"26","Malik Nabers","WR","NYG","8","ppr"
"27","Trey McBride","TE","ARI","2","ppr"
"28","Tee Higgins","WR","CIN","6","ppr"
"29","Josh Allen","QB","BUF","7","ppr"
"30","Javonte Williams","RB","DAL","14","ppr"
"31","Kyren Williams","RB","LAR","11","ppr"
"32","Breece Hall","RB","NYJ","13","ppr"
"33","Zay Flowers","WR","BAL","13","ppr"
"34","DeVonta Smith","WR","PHI","10","ppr"
"35","Tetairoa McMillan","WR","CAR","2","ppr"
"36","Ladd McConkey","WR","LAC","7","ppr"
"37","David Montgomery","RB","HOU","8","ppr"
"38","Jeremiyah Love","RB","ARI","2","ppr"
"39","Cam Skattebo","RB","NYG","8","ppr"
"40","Tyler Warren","TE","IND","13","ppr"
"41","Colston Loveland","TE","CHI","10","ppr"
"42","Garrett Wilson","WR","NYJ","13","ppr"
"43","D'Andre Swift","RB","CHI","10","ppr"
"44","Josh Jacobs","RB","GB","11","ppr"
"45","Christian Watson","WR","GB","11","ppr"
"46","Jameson Williams","WR","DET","6","ppr"
"47","Terry McLaurin","WR","WAS","7","ppr"
"48","DJ Moore","WR","BUF","7","ppr"
"49","Drake Maye","QB","NE","11","ppr"
"50","Lamar Jackson","QB","BAL","13","ppr"
"51","Travis Etienne Jr.","RB","NO","8","ppr"
"52","Bucky Irving","RB","TB","10","ppr"
"53","Emeka Egbuka","WR","TB","10","ppr"
"54","Jadarian Price","RB","SEA","11","ppr"
"55","Joe Burrow","QB","CIN","6","ppr"
"56","Sam LaPorta","TE","DET","6","ppr"
"57","Rome Odunze","WR","CHI","10","ppr"
"58","Luther Burden III","WR","CHI","10","ppr"
"59","Jaylen Waddle","WR","DEN","10","ppr"
"60","Rhamondre Stevenson","RB","NE","11","ppr"
"61","Quinshon Judkins","RB","CLE","11","ppr"
"62","Jayden Daniels","QB","WAS","7","ppr"
"63","Parker Washington","WR","JAX","7","ppr"
"64","Davante Adams","WR","LAR","11","ppr"
"65","Harold Fannin Jr.","TE","CLE","11","ppr"
"66","Tucker Kraft","TE","GB","11","ppr"
"67","Kyle Pitts Sr.","TE","ATL","11","ppr"
"68","Brian Thomas Jr.","WR","JAX","7","ppr"
"69","Mike Evans","WR","SF","8","ppr"
"70","Rico Dowdle","RB","PIT","9","ppr"
"71","Bhayshul Tuten","RB","JAX","7","ppr"
"72","TreVeyon Henderson","RB","NE","11","ppr"
"73","Chuba Hubbard","RB","CAR","2","ppr"
"74","Michael Pittman Jr.","WR","PIT","9","ppr"
"75","Jakobi Meyers","WR","JAX","7","ppr"
"76","Trevor Lawrence","QB","JAX","7","ppr"
"77","Justin Herbert","QB","LAC","7","ppr"
"78","Jalen Hurts","QB","PHI","10","ppr"
"79","Dak Prescott","QB","DAL","14","ppr"
"80","Caleb Williams","QB","CHI","10","ppr"
"81","Tony Pollard","RB","TEN","9","ppr"
"82","Jonathon Brooks","RB","CAR","2","ppr"
"83","Alec Pierce","WR","IND","13","ppr"
"84","Josh Downs","WR","IND","13","ppr"
"85","Marvin Harrison Jr.","WR","ARI","2","ppr"
"86","Travis Kelce","TE","KC","5","ppr"
"87","George Kittle","TE","SF","8","ppr"
"88","Jake Ferguson","TE","DAL","14","ppr"
"89","Dalton Kincaid","TE","BUF","7","ppr"
"90","Jaylen Warren","RB","PIT","9","ppr"
"91","Blake Corum","RB","LAR","11","ppr"
"92","Jordan Mason","RB","MIN","6","ppr"
"93","Jacory Croskey-Merritt","RB","WAS","7","ppr"
"94","Kenny Gainwell","RB","TB","10","ppr"
"95","De'Zhaun Stribling","WR","SF","8","ppr"
"96","Chris Godwin Jr.","WR","TB","10","ppr"
"97","DK Metcalf","WR","PIT","9","ppr"
"98","Carnell Tate","WR","TEN","9","ppr"
"99","Michael Wilson","WR","ARI","2","ppr"
"100","Courtland Sutton","WR","DEN","10","ppr"
"101","Makai Lemon","WR","PHI","10","ppr"
"102","Jordan Addison","WR","MIN","6","ppr"
"103","Mark Andrews","TE","BAL","13","ppr"
"104","Dallas Goedert","TE","PHI","10","ppr"
"105","Jayden Reed","WR","GB","11","ppr"
"106","Wan'Dale Robinson","WR","TEN","9","ppr"
"107","RJ Harvey","RB","DEN","10","ppr"
"108","Brock Purdy","QB","SF","8","ppr"
"109","Bo Nix","QB","DEN","10","ppr"
"110","Matthew Stafford","QB","LAR","11","ppr"
"111","Patrick Mahomes","QB","KC","5","ppr"
"112","Aaron Jones Sr.","RB","MIN","6","ppr"
"113","Kyle Monangai","RB","CHI","10","ppr"
"114","J.K. Dobbins","RB","DEN","10","ppr"
"115","Rachaad White","RB","WAS","7","ppr"
"116","Xavier Worthy","WR","KC","5","ppr"
"117","Stefon Diggs","WR","WAS","7","ppr"
"118","Jalen Coker","WR","CAR","2","ppr"
"119","KC Concepcion","WR","CLE","11","ppr"
"120","Matthew Golden","WR","GB","11","ppr"
"121","Jordyn Tyson","WR","NO","8","ppr"
"122","Quentin Johnston","WR","LAC","7","ppr"
"123","Deebo Samuel Sr.","WR","SF","8","ppr"
"124","Brenton Strange","TE","JAX","7","ppr"
"125","Juwan Johnson","TE","NO","8","ppr"
"126","Hunter Henry","TE","NE","11","ppr"
"127","Isaiah Likely","TE","NYG","8","ppr"
"128","Chris Rodriguez Jr.","RB","JAX","7","ppr"
"129","Jonah Coleman","RB","DEN","10","ppr"
"130","Kyler Murray","QB","MIN","6","ppr"
"131","Jaxson Dart","QB","NYG","8","ppr"
"132","Woody Marks","RB","HOU","8","ppr"
