"RANK","NAME","Position","Team","BYE","TIER","$$$","EXODIA"
"1","Josh Allen","QB","BUF","7","1","$18",""
"2","Lamar Jackson","QB","BAL","13","2","$16",""
"3","Jayden Daniels","QB","WAS","7","2","$10",""
"4","Jalen Hurts","QB","PHI","10","2","$10",""
"5","Drake Maye","QB","NE","11","2","$9",""
"6","Joe Burrow","QB","CIN","6","3","$7",""
"7","Jaxson Dart","QB","NYG","8","3","$5",""
"8","Trevor Lawrence","QB","JAX","7","3","$4",""
"9","Dak Prescott","QB","DAL","14","4","$4",""
"10","Caleb Williams","QB","CHI","10","5","$3",""
"11","Justin Herbert","QB","LAC","7","5","$3",""
"12","Malik Willis","QB","MIA","6","5","$3",""
"13","Kyler Murray","QB","MIN","6","5","$1",""
"14","Brock Purdy","QB","SF","8","5","$1",""
"15","Bo Nix","QB","DEN","10","6","$1",""
"16","Patrick Mahomes","QB","KC","5","6","$1",""
"17","Matthew Stafford","QB","LAR","11","6","$1",""
"18","Baker Mayfield","QB","TB","10","6","WW",""
"19","Jared Goff","QB","DET","6","6","WW",""
"20","Jordan Love","QB","GB","11","6","WW",""
"21","Tyler Shough","QB","NO","8","7","WW",""
"22","Daniel Jones","QB","IND","13","7","WW",""
"23","Sam Darnold","QB","SEA","11","7","WW",""
"24","Jacoby Brissett","QB","ARI","14","7","WW",""
"25","C.J. Stroud","QB","HOU","8","7","WW",""
