"RANK","NAME","Position","Team","BYE","TIER","$$$","EXODIA"
"1","Jahmyr Gibbs","RB","DET","6","1","$60",""
"2","Bijan Robinson","RB","ATL","11","1","$59",""
"3","Christian McCaffrey","RB","SF","8","2","$54",""
"4","Jonathan Taylor","RB","IND","13","3","$42",""
"5","James Cook","RB","BUF","7","3","$39",""
"6","De'Von Achane","RB","MIA","6","3","$39",""
"7","Chase Brown","RB","CIN","6","3","$39",""
"8","Kenneth Walker III","RB","KC","5","3","$38",""
"9","Saquon Barkley","RB","PHI","10","3","$37",""
"10","Derrick Henry","RB","BAL","13","3","$37",""
"11","Omarion Hampton","RB","LAC","7","3","$37",""
"12","Ashton Jeanty","RB","LV","13","3","$37",""
"13","Breece Hall","RB","NYJ","13","4","$29",""
"14","Cam Skattebo","RB","NYG","8","4","$25",""
"15","David Montgomery","RB","HOU","8","4","$24","1"
"16","Jeremiyah Love","RB","ARI","14","4","$23",""
"17","Javonte Williams","RB","DAL","14","4","$17",""
"18","Jadarian Price","RB","SEA","11","5","$16",""
"19","D'Andre Swift","RB","CHI","10","5","$16",""
"20","Travis Etienne","RB","NO","8","5","$16",""
"21","Kyren Williams","RB","LAR","11","5","$14",""
"22","Bhayshul Tuten","RB","JAX","7","5","$12",""
"23","Quinshon Judkins","RB","CLE","11","5","$9",""
"24","Jonathon Brooks","RB","CAR","5","6","$8","1"
"25","Rhamondre Stevenson","RB","NE","11","6","$8",""
"26","Marshawn Lloyd","RB","GB","11","6","$7",""
"27","Bucky Irving","RB","TB","10","6","$7",""
"28","Tony Pollard","RB","TEN","9","6","$6",""
"29","TreVeyon Henderson","RB","NE","11","6","$5",""
"30","Jacory Croskey-Merritt","RB","WAS","7","7","$4",""
"31","J.K. Dobbins","RB","DEN","10","7","$3",""
"32","Chuba Hubbard","RB","CAR","5","7","$3",""
"33","Josh Jacobs","RB","GB","11","7","$3",""
"34","Rico Dowdle","RB","PIT","9","7","$3",""
"35","Blake Corum","RB","LAR","11","8","$2",""
"36","Kenny Gainwell","RB","TB","10","8","$1",""
"37","Jaylen Warren","RB","PIT","9","8","$1",""
"38","RJ Harvey","RB","DEN","10","8","$1",""
"39","Rachaad White","RB","WAS","7","8","$1",""
"40","Jordan Mason","RB","MIN","6","8","$1",""
"41","Aaron Jones","RB","MIN","6","8","WW",""
"42","Kyle Monangai","RB","CHI","10","9","WW",""
"43","Kaleb Johnson","RB","PIT","9","9","WW",""
