"RANK","NAME","Position","Team","BYE","TIER","$$$","EXODIA"
"1","Brock Bowers","TE","LV","13","1","$28",""
"2","Trey McBride","TE","ARI","14","1","$25",""
"3","Colston Loveland","TE","CHI","10","2","$11",""
"4","Tyler Warren","TE","IND","13","2","$10",""
"5","Sam LaPorta","TE","DET","6","2","$9",""
"6","Harold Fannin Jr.","TE","CLE","11","3","$8",""
"7","Tucker Kraft","TE","GB","11","3","$7",""
"8","George Kittle","TE","SF","8","3","$6",""
"9","Kyle Pitts","TE","ATL","11","4","$2",""
"10","Dallas Goedert","TE","PHI","10","4","$2",""
"11","Isaiah Likely","TE","NYG","8","4","$2",""
"12","Dalton Kincaid","TE","BUF","7","4","$2",""
"13","Mark Andrews","TE","BAL","13","4","$1",""
"14","Travis Kelce","TE","KC","5","4","$1",""
"15","Terrance Ferguson","TE","LAR","11","5","WW",""
"16","Jake Ferguson","TE","DAL","14","5","WW",""
"17","Juwan Johnson","TE","NO","8","6","WW",""
"18","Chig Okonkwo","TE","WAS","7","6","WW",""
"19","Brenton Strange","TE","JAX","7","6","WW",""
"20","Kenyon Sadiq","TE","NYJ","13","6","WW",""
"21","Greg Dulcich","TE","MIA","6","6","WW",""
"22","Oronde Gadsden II","TE","LAC","7","6","WW",""
"23","Hunter Henry","TE","NE","11","6","WW",""
"24","Evan Engram","TE","DEN","10","7","WW",""
"25","Charlie Kolar","TE","LAC","7","7","WW",""
"26","Erick All","TE","CIN","6","7","WW",""
"27","T.J. Hockenson","TE","MIN","6","7","WW",""
"28","AJ Barner","TE","SEA","11","7","WW",""
"29","Pat Freiermuth","TE","PIT","9","7","WW",""
"30","Darnell Washington","TE","PIT","9","7","WW",""
"31","Dalton Schultz","TE","HOU","8","7","WW",""
"32","Gunnar Helm","TE","TEN","9","7","WW",""
"33","Colby Parkinson","TE","LAR","11","7","WW",""
"34","Jake Tonges","TE","SF","8","7","WW",""
