"RANK","NAME","Position","Team","BYE","TIER","$$$","EXODIA"
"1","Puka Nacua","WR","LAR","11","1","$54",""
"2","Ja'Marr Chase","WR","CIN","6","1","$54",""
"3","Amon-Ra St. Brown","WR","DET","6","2","$47",""
"4","Jaxon Smith-Njigba","WR","SEA","11","3","$39",""
"5","Drake London","WR","ATL","11","3","$36",""
"6","Justin Jefferson","WR","MIN","6","3","$34",""
"7","CeeDee Lamb","WR","DAL","14","3","$34",""
"8","Malik Nabers","WR","NYG","8","4","$33",""
"9","Nico Collins","WR","HOU","8","4","$32",""
"10","A.J. Brown","WR","NE","11","4","$30",""
"11","George Pickens","WR","DAL","14","4","$27",""
"12","Zay Flowers","WR","BAL","13","5","$27",""
"13","Tee Higgins","WR","CIN","6","5","$25",""
"14","Chris Olave","WR","NO","8","5","$22",""
"15","DeVonta Smith","WR","PHI","10","5","$22",""
"16","Jaylen Waddle","WR","DEN","10","5","$21",""
"17","Luther Burden III","WR","CHI","10","5","$21","1"
"18","Terry McLaurin","WR","WAS","7","5","$21",""
"19","Parker Washington","WR","JAX","7","6","$21","1"
"20","Mike Evans","WR","SF","8","6","$20","1"
"21","Emeka Egbuka","WR","TB","10","6","$19",""
"22","Ladd McConkey","WR","LAC","7","6","$18",""
"23","Garrett Wilson","WR","NYJ","13","6","$17",""
"24","Davante Adams","WR","LAR","11","6","$13",""
"25","Christian Watson","WR","GB","11","7","$12",""
"26","Tetairoa McMillan","WR","CAR","5","7","$11",""
"27","Rashee Rice","WR","KC","5","7","$9",""
"28","DJ Moore","WR","BUF","7","8","$7",""
"29","Jameson Williams","WR","DET","6","8","$7",""
"30","Carnell Tate","WR","TEN","9","8","$7",""
"31","Brian Thomas Jr.","WR","JAX","7","9","$5",""
"32","KC Concepcion","WR","CLE","11","9","$5",""
"33","De'Zhaun Stribling","WR","SF","8","9","$4",""
"34","Josh Downs","WR","IND","13","9","$4",""
"35","Michael Wilson","WR","ARI","14","9","$4",""
"36","Chris Godwin Jr.","WR","TB","10","10","$4",""
"37","Courtland Sutton","WR","DEN","10","10","$4",""
"38","Quentin Johnston","WR","LAC","7","10","$4",""
"39","Rome Odunze","WR","CHI","10","10","$3",""
"40","Michael Pittman Jr.","WR","PIT","9","10","$3",""
"41","Stefon Diggs","WR","WAS","7","10","$2",""
"42","Marvin Harrison Jr.","WR","ARI","14","10","$2",""
"43","Matthew Golden","WR","GB","11","11","$2",""
"44","Alec Pierce","WR","IND","13","11","$2",""
"45","DK Metcalf","WR","PIT","9","11","$2",""
"46","Jordyn Tyson","WR","NO","8","11","$1",""
"47","Romeo Doubs","WR","NE","11","12","$1",""
"48","Jayden Reed","WR","GB","11","12","$1",""
"49","Makai Lemon","WR","PHI","10","12","$1",""
"50","Xavier Worthy","WR","KC","5","12","$1",""
"51","Jordan Addison","WR","MIN","6","12","$1",""
"52","Wan'Dale Robinson","WR","TEN","9","12","$1",""
"53","Malik Washington","WR","MIA","6","13","$1",""
"54","Rashid Shaheed","WR","SEA","11","13","$1",""
"55","Jalen Coker","WR","CAR","5","13","WW",""
"56","Jalen Nailor","WR","LV","13","13","WW",""
"57","Adonai Mitchell","WR","NYJ","13","13","WW",""
"58","Kayshon Boutte","WR","NE","11","13","WW",""
"59","Devaughn Vele","WR","NO","8","13","WW",""
"60","Jakobi Meyers","WR","JAX","7","13","WW",""
"61","Cyrus Allen","WR","KC","5","14","WW",""
"62","Caleb Douglas","WR","MIA","6","14","WW",""
"63","Zachariah Branch","WR","ATL","11","14","WW",""
"64","Malachi Fields","WR","NYG","8","14","WW",""
"65","Dontayvion Wicks","WR","PHI","10","14","WW",""
"66","Denzel Boston","WR","CLE","11","14","WW",""
"67","Brandon Aiyuk","WR","SF","8","14","WW",""
"68","Khalil Shakir","WR","BUF","7","14","WW",""
"69","Jerry Jeudy","WR","CLE","11","14","WW",""
"70","Deebo Samuel","WR","SF","8","14","WW",""
"71","Jalen McMillan","WR","TB","10","14","WW",""
"72","Ryan Flournoy","WR","DAL","14","15","WW",""
"73","Rashod Bateman","WR","BAL","13","15","WW",""
"74","Germie Bernard","WR","PIT","9","15","WW",""
"75","Antonio Williams","WR","WAS","7","15","WW",""
"76","Tank Dell","WR","HOU","8","15","WW",""
"77","Chris Bell","WR","MIA","6","15","WW",""
"78","Tre Harris","WR","LAC","7","15","WW",""
"79","Tre Tucker","WR","LV","13","15","WW",""
"80","Isaac TeSlaa","WR","DET","6","15","WW",""
"81","Ja'Kobi Lane","WR","BAL","13","15","WW",""
"82","Calvin Ridley","WR","TEN","9","15","WW",""
