"OVERALL","NAME","Position","Team","BYE","$$$","EXODIA"
"1","Jahmyr Gibbs","RB","DET","6","$60",""
"2","Bijan Robinson","RB","ATL","11","$59",""
"3","Christian McCaffrey","RB","SF","8","$54",""
"4","Puka Nacua","WR","LAR","11","$54",""
"5","Ja'Marr Chase","WR","CIN","6","$54",""
"6","Amon-Ra St. Brown","WR","DET","6","$47",""
"7","Jonathan Taylor","RB","IND","13","$42",""
"8","James Cook","RB","BUF","7","$39",""
"9","Jaxon Smith-Njigba","WR","SEA","11","$39",""
"10","De'Von Achane","RB","MIA","6","$39",""
"11","Chase Brown","RB","CIN","6","$39",""
"12","Kenneth Walker III","RB","KC","5","$38",""
"13","Saquon Barkley","RB","PHI","10","$37",""
"14","Derrick Henry","RB","BAL","13","$37",""
"15","Omarion Hampton","RB","LAC","7","$37",""
"16","Ashton Jeanty","RB","LV","13","$37",""
"17","Drake London","WR","ATL","11","$36",""
"18","Justin Jefferson","WR","MIN","6","$34",""
"19","CeeDee Lamb","WR","DAL","14","$34",""
"20","Malik Nabers","WR","NYG","8","$33",""
"21","Nico Collins","WR","HOU","8","$32",""
"22","A.J. Brown","WR","NE","11","$30",""
"23","Breece Hall","RB","NYJ","13","$29",""
"24","Brock Bowers","TE","LV","13","$28",""
"25","George Pickens","WR","DAL","14","$27",""
"26","Zay Flowers","WR","BAL","13","$27",""
"27","Tee Higgins","WR","CIN","6","$25",""
"28","Trey McBride","TE","ARI","14","$25",""
"29","Cam Skattebo","RB","NYG","8","$25",""
"30","David Montgomery","RB","HOU","8","$24","1"
"31","Jeremiyah Love","RB","ARI","14","$23",""
"32","Chris Olave","WR","NO","8","$22",""
"33","DeVonta Smith","WR","PHI","10","$22",""
"34","Jaylen Waddle","WR","DEN","10","$21",""
"35","Luther Burden III","WR","CHI","10","$21","1"
"36","Terry McLaurin","WR","WAS","7","$21",""
"37","Parker Washington","WR","JAX","7","$21","1"
"38","Mike Evans","WR","SF","8","$20","1"
"39","Emeka Egbuka","WR","TB","10","$19",""
"40","Josh Allen","QB","BUF","7","$18",""
"41","Ladd McConkey","WR","LAC","7","$18",""
"42","Garrett Wilson","WR","NYJ","13","$17",""
"43","Javonte Williams","RB","DAL","14","$17",""
"44","Jadarian Price","RB","SEA","11","$16",""
"45","D'Andre Swift","RB","CHI","10","$16",""
"46","Travis Etienne","RB","NO","8","$16",""
"47","Lamar Jackson","QB","BAL","13","$16",""
"48","Kyren Williams","RB","LAR","11","$14",""
"49","Davante Adams","WR","LAR","11","$13",""
"50","Christian Watson","WR","GB","11","$12",""
"51","Tetairoa McMillan","WR","CAR","5","$11",""
"52","Bhayshul Tuten","RB","JAX","7","$12",""
"53","Colston Loveland","TE","CHI","10","$11",""
"54","Jayden Daniels","QB","WAS","7","$10",""
"55","Jalen Hurts","QB","PHI","10","$10",""
"56","Tyler Warren","TE","IND","13","$10",""
"57","Drake Maye","QB","NE","11","$9",""
"58","Sam LaPorta","TE","DET","6","$9",""
"59","Quinshon Judkins","RB","CLE","11","$9",""
"60","Rashee Rice","WR","KC","5","$9",""
"61","Jonathon Brooks","RB","CAR","5","$8","1"
"62","Rhamondre Stevenson","RB","NE","11","$8",""
"63","Harold Fannin Jr.","TE","CLE","11","$8",""
"64","Marshawn Lloyd","RB","GB","11","$7",""
"65","DJ Moore","WR","BUF","7","$7",""
"66","Jameson Williams","WR","DET","6","$7",""
"67","Joe Burrow","QB","CIN","6","$7",""
"68","Tucker Kraft","TE","GB","11","$7",""
"69","Bucky Irving","RB","TB","10","$7",""
"70","Carnell Tate","WR","TEN","9","$7",""
"71","George Kittle","TE","SF","8","$6",""
"72","Tony Pollard","RB","TEN","9","$6",""
"73","Brian Thomas Jr.","WR","JAX","7","$5",""
"74","KC Concepcion","WR","CLE","11","$5",""
