"RANK","NAME","Position","Team","BYE","TIER","UP","DOWN","TARGET","WIN"
"1","Jahmyr Gibbs","RB","DET","6","1","false","false","false","false"
"2","Bijan Robinson","RB","ATL","11","1","false","false","false","false"
"3","Jonathan Taylor","RB","IND","13","2","false","false","false","false"
"4","James Cook III","RB","BUF","7","2","false","false","false","false"
"5","Saquon Barkley","RB","PHI","10","3","false","false","true","true"
"6","De'Von Achane","RB","MIA","6","3","false","false","false","false"
"7","Christian McCaffrey","RB","SF","8","3","false","false","false","false"
"8","Omarion Hampton","RB","LAC","7","3","false","false","true","true"
"9","Chase Brown","RB","CIN","6","4","false","false","true","false"
"10","Ashton Jeanty","RB","LV","13","4","false","false","false","false"
"11","Derrick Henry","RB","BAL","13","4","false","false","true","false"
"12","Kenneth Walker","RB","KC","5","4","false","false","false","false"
"13","Javonte Williams","RB","DAL","14","5","true","false","true","true"
"14","Kyren Williams","RB","LAR","11","5","false","false","false","false"
"15","Breece Hall","RB","NYJ","13","5","false","false","true","false"
"16","David Montgomery","RB","HOU","8","5","false","false","true","false"
"17","Jeremiyah Love","RB","ARI","2","5","false","false","false","false"
"18","Cam Skattebo","RB","NYG","8","5","false","false","true","false"
"19","D'Andre Swift","RB","CHI","10","5","false","false","true","false"
"20","Jadarian Price","RB","SEA","11","6","true","false","true","false"
"21","Travis Etienne Jr.","RB","NO","8","6","false","false","false","false"
"22","Rhamondre Stevenson","RB","NE","11","6","true","false","true","false"
"23","Quinshon Judkins","RB","CLE","11","7","false","false","false","false"
"24","Bucky Irving","RB","TB","10","7","false","false","false","false"
"25","Rico Dowdle","RB","PIT","9","7","true","false","true","false"
"26","TreVeyon Henderson","RB","NE","11","7","false","false","false","false"
"27","Bhayshul Tuten","RB","JAX","7","7","false","false","false","false"
"28","Chuba Hubbard","RB","CAR","2","7","false","false","true","false"
"29","Tony Pollard","RB","TEN","9","8","false","false","false","false"
"30","Jonathon Brooks","RB","CAR","2","8","true","false","false","false"
"31","Jaylen Warren","RB","PIT","9","8","false","false","false","false"
"32","RJ Harvey","RB","DEN","10","8","false","false","false","false"
"33","Blake Corum","RB","LAR","11","9","true","false","false","false"
"34","Jordan Mason","RB","MIN","6","9","true","false","true","false"
"35","Kenny Gainwell","RB","TB","10","9","false","false","false","false"
"36","Josh Jacobs","RB","GB","11","9","false","true","false","false"
"37","MarShawn Lloyd","RB","GB","11","9","true","false","false","false"
"38","Jacory Croskey-Merritt","RB","WAS","7","9","true","false","false","false"
"39","Rachaad White","RB","WAS","7","10","false","false","true","false"
"40","Kyle Monangai","RB","CHI","10","10","false","false","false","false"
"41","Aaron Jones Sr.","RB","MIN","6","10","false","false","false","false"
"42","J.K. Dobbins","RB","DEN","10","10","false","false","false","false"
"43","Chris Rodriguez Jr.","RB","JAX","7","10","true","false","true","false"
"44","Tyler Allgeier","RB","ARI","2","10","false","false","false","false"
"45","Mike Washington Jr.","RB","LV","13","11","true","false","true","false"
"46","Jonah Coleman","RB","DEN","10","11","true","false","true","false"
"47","Tyjae Spears","RB","TEN","9","11","false","false","false","false"
"48","Woody Marks","RB","HOU","8","11","false","false","false","false"
"49","Zach Charbonnet","RB","SEA","11","12","false","false","false","false"
"50","Emmett Johnson","RB","KC","5","12","true","false","false","false"
"51","Justice Hill","RB","BAL","13","13","false","false","false","false"
"52","Kaelon Black","RB","SF","8","13","true","false","true","true"
"53","Tank Bigsby","RB","PHI","10","13","false","false","false","false"
"54","Brian Robinson","RB","ATL","11","14","false","false","false","false"
"55","Keaton Mitchell","RB","LAC","7","14","false","false","false","false"
"56","Kaleb Johnson","RB","GB","11","14","false","false","false","false"
"57","Alvin Kamara","RB","NO","8","14","false","false","false","false"
"58","Tyrone Tracy Jr.","RB","NYG","8","14","false","false","false","false"
"59","Dylan Sampson","RB","CLE","11","14","false","false","false","false"
"60","Nicholas Singleton","RB","TEN","9","15","false","false","false","false"
"61","Braelon Allen","RB","NYJ","13","15","false","false","false","false"
"62","Ollie Gordon II","RB","MIA","6","15","false","false","false","false"
"63","Brashard Smith","RB","KC","5","15","false","false","false","false"
"64","Kimani Vidal","RB","LAC","7","15","false","false","false","false"
"65","Kaytron Allen","RB","WAS","7","15","false","false","false","false"
"66","Isaiah Davis","RB","NYJ","13","15","false","false","false","false"
"67","Demond Claiborne","RB","MIN","6","15","true","false","false","false"
"68","Jaylen Wright","RB","MIA","6","16","false","false","false","false"
"69","LeQuint Allen Jr.","RB","JAX","7","16","false","false","false","false"
"70","Samaje Perine","RB","CIN","6","16","false","false","false","false"
"71","Emanuel Wilson","RB","SEA","11","16","false","false","false","false"
"72","Emari Demercado","RB","DAL","14","16","false","false","false","false"
"73","Sean Tucker","RB","TB","10","16","true","false","false","false"
"74","Isiah Pacheco","RB","DET","6","16","false","true","false","false"
"75","Devin Singletary","RB","NYG","8","16","false","false","false","false"
"76","James Conner","RB","ARI","2","16","false","false","false","false"
"77","Ty Johnson","RB","BUF","7","16","false","false","false","false"
"78","Malik Davis","RB","DAL","14","16","false","false","false","false"
