"RANK","NAME","Position","Team","BYE","TIER","UP","DOWN","TARGET","WIN"
"1","Ja'Marr Chase","WR","CIN","6","1","false","false","false","false"
"2","Puka Nacua","WR","LAR","11","1","false","false","false","false"
"3","Amon-Ra St. Brown","WR","DET","6","2","false","false","false","false"
"4","Jaxon Smith-Njigba","WR","SEA","11","2","false","false","false","false"
"5","CeeDee Lamb","WR","DAL","14","2","false","false","false","false"
"6","Justin Jefferson","WR","MIN","6","3","false","false","false","false"
"7","A.J. Brown","WR","NE","11","3","false","false","false","false"
"8","Nico Collins","WR","HOU","8","3","false","false","true","false"
"9","George Pickens","WR","DAL","14","3","false","false","false","false"
"10","Rashee Rice","WR","KC","5","3","false","false","true","false"
"11","Drake London","WR","ATL","11","3","false","false","false","false"
"12","Chris Olave","WR","NO","8","3","false","false","true","false"
"13","Malik Nabers","WR","NYG","8","4","true","true","false","false"
"14","DeVonta Smith","WR","PHI","10","4","false","false","true","false"
"15","Tee Higgins","WR","CIN","6","4","false","false","false","false"
"16","Zay Flowers","WR","BAL","13","4","false","false","true","false"
"17","Ladd McConkey","WR","LAC","7","5","false","false","false","false"
"18","Tetairoa McMillan","WR","CAR","2","5","false","false","false","false"
"19","Garrett Wilson","WR","NYJ","13","5","false","false","false","false"
"20","DJ Moore","WR","BUF","7","5","false","false","true","false"
"21","Terry McLaurin","WR","WAS","7","5","false","false","true","true"
"22","Jameson Williams","WR","DET","6","5","false","false","false","false"
"23","Luther Burden III","WR","CHI","10","5","false","false","false","false"
"24","Christian Watson","WR","GB","11","5","false","false","true","true"
"25","Emeka Egbuka","WR","TB","10","5","false","false","false","false"
"26","Rome Odunze","WR","CHI","10","5","true","false","true","false"
"27","Davante Adams","WR","LAR","11","6","false","true","false","false"
"28","Jaylen Waddle","WR","DEN","10","6","false","false","false","false"
"29","Parker Washington","WR","JAX","7","6","false","false","true","false"
"30","Brian Thomas Jr.","WR","JAX","7","6","true","false","false","false"
"31","Mike Evans","WR","SF","8","6","false","false","false","false"
"32","Michael Pittman Jr.","WR","PIT","9","7","false","false","true","false"
"33","Alec Pierce","WR","IND","13","7","true","false","false","false"
"34","Chris Godwin Jr.","WR","TB","10","7","false","false","false","false"
"35","DK Metcalf","WR","PIT","9","7","false","false","false","false"
"36","Michael Wilson","WR","ARI","2","7","false","false","false","false"
"37","Josh Downs","WR","IND","13","7","false","false","true","false"
"38","Jakobi Meyers","WR","JAX","7","7","false","false","false","false"
"39","Marvin Harrison Jr.","WR","ARI","2","7","false","false","false","false"
"40","Carnell Tate","WR","TEN","9","8","false","false","false","false"
"41","Jordan Addison","WR","MIN","6","8","true","false","false","false"
"42","Courtland Sutton","WR","DEN","10","8","false","false","false","false"
"43","Makai Lemon","WR","PHI","10","8","false","false","false","false"
"44","Jayden Reed","WR","GB","11","9","false","false","false","false"
"45","KC Concepcion","WR","CLE","11","9","true","false","false","false"
"46","Wan'Dale Robinson","WR","TEN","9","9","false","false","false","false"
"47","Xavier Worthy","WR","KC","5","10","true","false","true","false"
"48","De'Zhaun Stribling","WR","SF","8","10","true","false","true","false"
"49","Matthew Golden","WR","GB","11","10","true","false","false","false"
"50","Jalen Coker","WR","CAR","2","10","false","false","true","false"
"51","Stefon Diggs","WR","WAS","7","10","false","false","false","false"
