"id","NAME","POS","TEAM","ADP","OVERALL","POSITION"
"5daf3960-25f3-402a-800a-41f8ae4c38b5","Jahmyr Gibbs","RB","DET","1.1","1","RB1"
"25cbfc55-cb8a-4589-85de-e91870f65952","Bijan Robinson","RB","ATL","2.0","2","RB2"
"e05bf051-69f3-4483-8ce3-20b365a19cac","Ja'Marr Chase","WR","CIN","3.1","3","WR1"
"cedb5dc7-eb8d-4928-bf85-aea13ee90967","Puka Nacua","WR","LA","4.2","4","WR2"
"22bb912e-3c0d-498f-8ef9-86d332d90e1b","Christian McCaffrey","RB","SF","6.0","5","RB3"
"c34627c5-0225-45a3-b729-c49827bf5a8e","Jonathan Taylor","RB","IND","7.7","6","RB4"
"ad8c9f6a-fee3-4edf-95a9-83208575555e","Jaxon Smith-Njigba","WR","SEA","5.5","7","WR3"
"da561afd-b293-4e29-8986-fe658247131d","Amon-Ra St. Brown","WR","DET","7.2","8","WR4"
"60d2284c-5727-4476-8eaa-fa734e0d9f01","James Cook","RB","BUF","9.9","9","RB5"
"21ec9ffa-959e-4e5e-8d64-88776b1b4150","CeeDee Lamb","WR","DAL","9.9","10","WR5"
"674152bc-219e-4a7e-88e1-0b7bab267127","Saquon Barkley","RB","PHI","12.9","11","RB6"
"3ccbc4c7-afff-4477-93c6-10c823f53098","Justin Jefferson","WR","MIN","10.8","12","WR6"
"57c18f3f-4ec5-4e23-9fb1-ea9b9d35ea95","Kenneth Walker III","RB","KC","14.1","13","RB7"
"3ab31e43-ec23-46c5-b59d-b3850ad1ae3a","De'Von Achane","RB","MIA","16.6","14","RB8"
"6ed8fa4f-065c-4166-bd39-81555e655948","Chase Brown","RB","CIN","14.1","15","RB9"
"9eafc1c1-9dcf-40c6-a66c-10a04e720600","Derrick Henry","RB","BLT","16.6","16","RB10"
"9f4b0912-cb1e-4d16-b82b-45b05b012839","Ashton Jeanty","RB","LV","16.7","17","RB11"
"87e96674-63b1-4d0d-bc76-32e0d9327539","Omarion Hampton","RB","LAC","16.0","18","RB12"
"d7fc5a7b-bbb5-4b53-a9d4-58780f9d3ba1","A.J. Brown","WR","NE","18.3","19","WR7"
"2b821176-4aeb-4159-b49e-c87dfc4a25d9","Drake London","WR","ATL","22.1","20","WR8"
"bcd9dd40-142a-4f3c-b47e-654117d32658","Nico Collins","WR","HST","21.8","21","WR9"
"91204d39-aa4f-4927-9728-3c80fde04371","Brock Bowers","TE","LV","20.1","22","TE1"
"c07c6a7e-5738-4d6d-9cc6-5e8ce3707358","Malik Nabers","WR","NYG","22.2","23","WR10"
"02c7a4a9-1a8c-43b9-9b1c-d3eba62cfa47","George Pickens","WR","DAL","23.6","24","WR11"
"15a3bde4-5f94-46b8-9b44-928336c230fd","Breece Hall","RB","NYJ","31.4","25","RB13"
"83a1c1dd-93ee-4997-ae2b-139466d923ed","Chris Olave","WR","NO","26.7","26","WR12"
"1f6e0b0d-f18a-41cd-8df6-18d49ef463c1","Rashee Rice","WR","KC","27.4","27","WR13"
"38b6b4a2-35c6-47c8-9f89-758091b3a630","Javonte Williams","RB","DAL","33.2","28","RB14"
"03e908d2-14b1-49ed-a6e6-56e41a5e9988","Kyren Williams","RB","LA","30.2","29","RB15"
"41e96471-3191-4cbd-966d-e240e1b3deeb","DeVonta Smith","WR","PHI","27.6","30","WR14"
"1cc09dd6-2918-4379-b17a-562dc04857c5","Jeremiyah Love","RB","ARZ","29.6","31","RB16"
"e75fdadf-f9d2-44d5-8f0b-2308f7b00ab0","Zay Flowers","WR","BLT","31.2","32","WR15"
"c983ef21-e50f-42a8-b7b1-eb75b071a74f","Josh Allen","QB","BUF","36.9","33","QB1"
"6f55c5db-6322-482c-a15b-4d659d3bb07d","Tee Higgins","WR","CIN","34.9","34","WR16"
"2955db5c-a718-4e9b-a9bf-c9c51a1a4c11","Trey McBride","TE","ARZ","29.2","35","TE2"
"56790984-c8f7-499a-a5cd-74c77b38028c","Ladd McConkey","WR","LAC","33.5","36","WR17"
"01714e65-49e3-4185-8e4a-6a7ae051d5bf","Josh Jacobs","RB","GB","41.9","37","RB17"
"473889a2-a6c7-4912-9c96-1665a08877e1","Garrett Wilson","WR","NYJ","39.1","38","WR18"
"35636630-0a9c-41d1-a63e-14c33291ebf7","Emeka Egbuka","WR","TB","36.0","39","WR19"
"4b14baf1-115c-4fde-b12b-fa3ec53ab612","David Montgomery","RB","HST","47.4","40","RB18"
"64d36d44-e477-496c-8250-80bc47e1d6d6","Travis Etienne","RB","NO","39.9","41","RB19"
"fdd6ca8b-286d-4eb3-86e0-d2f970f6fa9c","Jaylen Waddle","WR","DEN","37.1","42","WR20"
"a3a3a72e-899e-4bbb-962d-dd308af3a320","Tetairoa McMillan","WR","CAR","40.9","43","WR21"
"6e351f30-740b-4649-b1c3-28b52f7ee0a4","Bhayshul Tuten","RB","JAX","49.5","44","RB20"
"3e1631ff-095d-431f-9df2-e30c87ace2b0","Jameson Williams","WR","DET","50.6","45","WR22"
"dc3bcebb-9e77-437c-9f51-57548947a981","D'Andre Swift","RB","CHI","44.2","46","RB21"
"61dc9c11-cbf2-4508-bc17-54da23abfb8d","Davante Adams","WR","LA","52.0","47","WR23"
"c06c8642-d1d0-4df1-8254-ee4e0ea70c5f","Terry McLaurin","WR","WAS","49.1","48","WR24"
"fed6c701-5437-4965-b008-d65eb8280fea","Mike Evans","WR","SF","52.3","49","WR25"
"667ca3ed-1519-414d-83e0-30bf2dc21162","Luther Burden III","WR","CHI","45.2","50","WR26"
"719db736-34b5-4990-ae8a-86d851f9eb37","Quinshon Judkins","RB","CLV","54.8","51","RB22"
"081d65a4-1d29-40ff-9ca1-dabad6887ff2","Cam Skattebo","RB","NYG","46.5","52","RB23"
"4cf7c6ab-95f6-4e5f-adaa-ec47c1198dd1","Colston Loveland","TE","CHI","43.8","53","TE3"
"9dd90ca5-f85f-4823-863c-f5fc1719835c","Lamar Jackson","QB","BLT","56.7","54","QB2"
"9853a3b5-067e-4aee-9388-4e21fa09d7d9","Bucky Irving","RB","TB","53.1","55","RB24"
"00d5b7d1-4bbd-4b38-8f4b-b40348f13e55","DJ Moore","WR","BUF","52.5","56","WR27"
"42a418b0-461c-4841-9c74-8f4a3547239c","Christian Watson","WR","GB","57.1","57","WR28"
"e91cddd5-487d-4d8b-8131-c85691917e82","Rome Odunze","WR","CHI","57.9","58","WR29"
